phylum,Genus,Species,Collector.Number,Accession.Number.BeatyBiodiversity.Museum,Notes
red,Besa,leptophylla,no_voucher,,
red,Bonnemaisonia,californica,no_voucher,,
red,Caulacanthus,ustulatus,no_voucher,,
green,Cladophora,pygmaea,no_voucher,,
red,Constantinea,subulifera,no_voucher,,
red,Crustose,coralline,no_voucher,,
brown,Hincksia,ovata,no_voucher,,
green,Rosenvingiella,polyrhiza,no_voucher,,
green,Acrosiphonia,arcta,PTM2448,A100630,
green,Acrosiphonia,coalita,PTM2460,A100642,
red,Ahnfeltia,fastigiata,PTM2530,,
red,Ahnfeltia,fastigiata,PTM2541,,
brown,Alaria,marginata,PTM2492,A100674,
brown,Alaria,marginata,PTM2522,A100597,
brown,Alaria,marginata,PTM2555,,
red,Antithamnionella,spirographidis,PTM2569,,Epiphyte on Cryptosiphonia woodii
red,Callithamnion,acutum,PTM2526,,
red,Callithamnion,acutum,PTM2533,,
red,Callithamnion,acutum,PTM2567,,
red,Callophyllis,sp,PTM2451,A100633,
red,Callophyllis,sp.,PTM2529,,
red,Campylaephora,gardneri,PTM2453,A100635,
red,Campylaephora,gardneri,PTM2574,,
red,Ceramothamnion,pacificum,PTM2449,A100631,
red,Chondracanthus,exasperatus,PTM2459,A100641,
red,Chondracanthus,exasperatus,PTM2466,A100648,
red,Chondracanthus,exasperatus,PTM2480,A100662,
green,Cladophora,microcladioides,PTM2545,,
green,Cladophora,microcladioides,PTM2552,,
brown,Colpomenia,peregrina,PTM2523,A100598,
brown,Costaria,costata,PTM2557,,
red,Cryptosiphonia,woodii,PTM2540,,
red,Cryptosiphonia,woodii,PTM2566,,
red,Cumathamnion,decipiens,PTM2472,A100654,
red,Cumathamnion,decipiens,PTM2571,,
brown,Desmarestia,ligulata,PTM2560,,
brown,Desmarestia,viridis,PTM2482,A100664,
brown,Desmarestia,viridis,PTM2559,,
brown,Dictyosiphon,sp.,PTM2550,,
brown,Ectocarpus,sp.,PTM2538,,
brown,Ectocarpus,sp.,PTM2551,,
brown,Elachista,fucicola,PTM2542,,
red,Euthora,cristata,PTM2461,A100643,
brown,Fucus,distichus,PTM2458,A100640,
red,Gracilaria,NA,PTM2444,A100626,
red,Gracilaria,sp,PTM2457,A100639,
red,Gracilaria,sp,PTM2475,A100657,
red,Grateloupia,californica,PTM2450,A100632,
red,Grateloupia,californica,PTM2503,A100685,
red,Hildenbrandia,rubra,PTM2509,A100691,
red,Hildenbrandia,rubra,PTM2510,A100692,
red,Hildenbrandia,rubra,PTM2512,A100694,
red,Hildenbrandia,rubra,PTM2515,A100697,
red,Hildenbrandia,sp,PTM2507,A100689,
red,Hildenbrandia,sp,PTM2513,A100695,
red,Hildenbrandia,sp,PTM2514,A100696,
brown,Hincksia,granulosa,PTM2554,,
red,Hollenbergia,subulata,PTM2531,,
red,Hollenbergia,subulata,PTM2534,,
red,Mastocarpus,crust,PTM2508,A100690,
red,Mastocarpus,crust,PTM2511,A100693,
red,Mastocarpus,upright,PTM2455,A100637,
red,Mastocarpus,upright,PTM2456,A100638,
red,Mazzaella,splendens,PTM2481,A100663,
red,Mazzaella,splendens,PTM2499,A100681,
red,Mazzaella,splendens,PTM2575,,
brown,Melanosiphon,intestinalis,PTM2539,,
brown,Membranoptera,platyphylla,PTM2572,,
red,Neodilsea,borealis,PTM2465,A100647,
red,Neodilsea,borealis,PTM2519,A100594,
red,Neoharaldiophyllum,nottii,PTM2505,A100687,
red,Neoharaldiophyllum,nottii,PTM2524,A100599,
brown,Nereocystis,luetkeana,PTM2520,A100595,
brown,Nereocystis,luetkeana,PTM2558,,
red,Odonthalia,floccosa,PTM2452,A100634,
red,Odonthalia,floccosa,PTM2469,A100651,
red,Odonthalia,floccosa,PTM2474,A100656,
red,Odonthalia,floccosa,PTM2477,A100659,
brown,Petalonia,fascia,PTM2516,A100591,
brown,Petalonia,fascia,PTM2563,,
red,Phycodrys,sp.,PTM2536,,
red,Pikea,NA,PTM2470,A100652,
red,Pikea,pinnata,PTM2506,A100688,
red,Polyneura,latissima,PTM2454,A100636,
red,Polyneura,latissima,PTM2473,A100655,
red,Polyneura,latissima,PTM2494,A100676,
red,Polyneura,latissima,PTM2500,A100682,
red,Polyneura,latissima,PTM2517,A100592,
red,Polysiphonia,sp,PTM2447,A100629,
red,Polysiphonia,sp.,PTM2535,,
red,Polysiphonia,sp.,PTM2553,,
red,Prionitis,sternbergii,PTM2471,A100653,
red,Pterothamnion,pectinatum,PTM2464,A100646,
red,Pterothamnion,pectinatum,PTM2532,,
red,Pterothamnion,sp,PTM2501,A100683,
red,Pterothamnion,villosum,PTM2570,,
brown,Pylaiella,littoralis,PTM2562,,
red,Pyropia,sp,PTM2496,A100678,
red,Pyropia,sp.,PTM2543,,
red,Pyropia,sp.,PTM2544,,
red,Pyropia,sp.,PTM2548,,
red,Pyropia,sp.,PTM2565,,
green,Rhizoclonium,tortuosum,PTM2527,,
red,Rhodoptilum,NA,PTM2467,A100649,
brown,Saccharina,latissima,PTM2497,A100679,
brown,Saccharina,latissima,PTM2518,A100593,
brown,Saccharina,latissima,PTM2556,,
red,Sarcodiotheca,gaudichaudii,PTM2498,A100680,
red,Sarcodiotheca,gaudichaudii,PTM2525,A100600,
brown,Sargassum,muticum,PTM2495,A100677,epiphyte on Fucus distichus
red,Savoiea,robusta,PTM2445,A100627,
red,Savoiea,robusta,PTM2564,,
red,Scagelia,pylaisaei,PTM2463,A100645,
red,Scagelia,pylaisaei,PTM2537,,
red,Schizymenia,pacifica,PTM2493,A100675,
brown,Scytosiphon,lomentaria,PTM2561,,
brown,Scytosiphon,sp,PTM2478,A100660,
brown,Scytosiphon,sp.,PTM2547,,Epiphytic on Savoiea robusta
brown,Scytothamnus,sp.,PTM2568,,
red,Smithora,naiadum,PTM2521,A100596,
red,Sparlingia,pertusa,PTM2476,A100658,
brown,Sphacelariales,sp.,PTM2549,,
red,Tiffaniella,snyderiae,PTM2528,,
green,Ulothrix,palusalsa,PTM2468,A100650,
green,Ulothrix,palusalsa,PTM2502,A100684,
green,Ulothrix,speciosa,PTM2462,A100644,
green,Ulva,fenestrata,PTM2156,A99967,
green,Ulva,fenestrata,PTM2159,A99968,
green,Ulva,fenestrata,PTM2162,A99971,
green,Ulva,fenestrata,PTM2165,A99974,
green,Ulva,intestinalis,PTM2154,A99960,
green,Ulva,intestinalis,PTM2157,A99962,
green,Ulva,intestinalis,PTM2160,A99969,
green,Ulva,intestinalis,PTM2163,A99972,
green,Ulva,intestinalis,PTM2446,A100628,
green,Ulva,linza,PTM2155,A99961,
green,Ulva,linza,PTM2158,A99963,
green,Ulva,linza,PTM2161,A99970,
green,Ulva,linza,PTM2164,A99973,
green,Urospora,penicilliformis,PTM2504,A100686,
Xanthophyceae,Vaucheria,sp.,PTM2573,,
red,Wildemania,sp,PTM2479,A100661,
